timestamp,d_meas,theta_meas,d_true,theta_true,d_err,theta_err
19.0,1.3328391823168462,0.0033932238819294985,1.4992157196537004,0.0005267743632362417,-0.1663765373368542,0.002866449518693257
19.0,1.3328383534318318,0.003204712772708168,1.4992041458106393,0.0005259269002018084,-0.16636579237880755,0.0026787858725063596
19.1,1.3396185848112128,0.009111217338765194,1.499203985768742,0.0005303052657710654,-0.15958540095752927,0.00858091207299413
19.1,1.3262094597136378,0.007968796777333044,1.499210718597401,0.0005331576345649939,-0.17300125888376328,0.00743563914276805
19.2,1.3328775474834385,0.008311525265563198,1.4992310556503623,0.0005406167053270973,-0.16635350816692385,0.0077709085602361005
19.2,1.3262087660284356,0.007902887235558943,1.4992391647792944,0.0005439068902806999,-0.1730303987508588,0.007358980345278243
19.3,1.3262087660284356,0.007902887235558943,1.4992473293642352,0.0005472151281240262,-0.1730385633357996,0.007355672107434917
19.3,1.3328361509634312,0.0026391781320198736,1.499251161657625,0.0005488341916055269,-0.16641501069419373,0.002090343940414347
19.4,1.3328834189762804,0.00882561431158279,1.4992545955994168,0.000551283702452245,-0.16637117662313639,0.008274330609130544
19.4,1.3328834189762804,0.00882561431158279,1.4992504326034262,0.0005521713622029158,-0.1663670136271458,0.008273442949379874
19.4,1.3328702667963934,0.007626066416978476,1.499247848588017,0.0005522304231041972,-0.16637758179162354,0.0070738359938742786
19.6,1.3328738288579276,0.007968796777333044,1.499206828200079,0.0005484429013465429,-0.1663329993421514,0.0074203538759865005
19.6,1.332886072686842,0.009048384798694712,1.4991971559315294,0.0005470856210983735,-0.16631108324468746,0.008501299177596339
19.6,1.3328875290058806,0.009168337767321831,1.499193484017369,0.0005466632708024278,-0.16630595501148848,0.008621674496519403
19.7,1.3262072602002393,0.007757886002769004,1.499175129346387,0.0005455399574753321,-0.1729678691461478,0.007212346045293672
19.8,1.326223091360851,0.009168337767321831,1.4991821086728547,0.0005517437799674996,-0.1729590173120037,0.008616593987354332
19.9,1.326206641001485,0.007697468725806161,1.499195552341842,0.0005561376979699423,-0.1729889113403571,0.0071413310278362185
19.9,1.3262059154624115,0.007626066416978476,1.499202234849449,0.0005585492271300127,-0.1729963193870374,0.007067517189848463
20.0,1.3328814226716164,0.008654251801169148,1.499216546513025,0.0005651124983955119,-0.16633512384140858,0.008089139302773636
20.0,1.3328814226716164,0.008654251801169148,1.4992213004573225,0.0005671994434865088,-0.16633987778570614,0.00808705235768264
20.1,1.3464351586474779,0.010367852372547821,1.4992250570133632,0.0005712404930604465,-0.1527898983658853,0.009796611879487374
20.1,1.3328896427304542,0.009339698692524082,1.4992233046449595,0.000571429437444284,-0.16633366191450527,0.008768269255079798
20.1,1.3328814226716164,0.008654251801169148,1.4992206456562902,0.0005715085295166539,-0.16633922298467385,0.008082743271652494
20.2,1.3328702667963934,0.007626066416978476,1.4992121418942692,0.0005712717780557233,-0.1663418750978758,0.007054794638922753
20.3,1.3328875290058806,0.009168337767321831,1.499177844130069,0.0005679421491922386,-0.16629031512418835,0.008600395618129593
20.3,1.3328355115364396,0.002450666192108295,1.499164907326743,0.0005657153399295501,-0.16632939579030337,0.0018849508521787451
20.3,1.3262087660284356,0.007902887235558943,1.4991550763199752,0.0005645805305071869,-0.17294631029153962,0.007338306705051756
20.4,1.3328875290058806,0.009168337767321831,1.4991510587395445,0.0005642804750497993,-0.16626352973366387,0.008604057292272031
20.4,1.326206641001485,0.007697468725806161,1.4991462638312836,0.0005642540848467396,-0.17293962282979858,0.0071332146409594215
20.4,1.3262076681153006,0.007797431826139923,1.4991450700323674,0.0005644722288438536,-0.17293740191706686,0.007232959597296069
20.4,1.3396185848112128,0.009111217338765194,1.499143879517146,0.0005654229561813894,-0.15952529470593313,0.008545794382583806
20.5,1.3464186791503558,0.009111217338765194,1.4991465213169615,0.0005679559646246272,-0.15272784216660562,0.008543261374140567
20.8,1.326187397380089,0.005498245134811705,1.499197287569801,0.0005897877022262313,-0.1730098901897119,0.004908457432585473
20.8,1.3261996105665983,0.006974873862923143,1.4991936946958073,0.0005902396342802605,-0.17299408412920902,0.0063846342286428825
20.8,1.3328756686002663,0.008140161260494912,1.499187067645696,0.0005902037679685659,-0.1663113990454297,0.0075499574925263465
20.9,1.3395766914367333,0.0045242850038463445,1.4991748858068845,0.0005895199922329688,-0.15959819437015121,0.003934765011613376
20.9,1.3328738288579276,0.007968796777333044,1.4991626648483072,0.0005884063226159137,-0.16628883599037958,0.00738039045471713
20.9,1.3262150681797418,0.008482888782475311,1.4991599704231624,0.0005881253180691141,-0.17294490224342063,0.007894763464406197
20.9,1.3328720282565838,0.007797431826139923,1.4991572554519579,0.0005878287532867046,-0.16628522719537409,0.0072096030728532184
21.0,1.339575572745874,0.004335775542585933,1.4991372969886376,0.0005847368246948663,-0.1595617242427636,0.0037510387178910664
21.0,1.3262076681153006,0.007797431826139923,1.499126271406088,0.0005836351037196423,-0.17291860329078745,0.0072137967224202805
21.1,1.3262087660284356,0.007902887235558943,1.4991183742204854,0.0005835719412558402,-0.1729096081920498,0.007319315294303103
21.1,1.3262210271489896,0.008996976303654168,1.4991175522707427,0.000585803931943284,-0.17289652512175313,0.008411172371710884
21.2,1.3262131597460214,0.008311525265563198,1.4991232343178464,0.0005889890768671959,-0.17291007457182506,0.007722536188696003
21.2,1.3328896427304542,0.009339698692524082,1.4991307892084833,0.0005918289908784923,-0.16624114647802912,0.008747869701645589
21.3,1.3328383534318318,0.003204712772708168,1.4991434643000574,0.0005960567377211982,-0.16630511086822564,0.00260865603498697
